n_estimators,max_depth,min_samples_leaf,max_features,accuracy,precision,recall,f1,roc_auc,average_precision
300,20.0,1,,0.9247460438117615,0.213768115942029,0.15265200517464425,0.1781132075471698,0.7106624285053464,0.15016605956006937
300,,2,sqrt,0.8729873540183816,0.15755627009646303,0.3169469598965071,0.2104810996563574,0.7162479409369779,0.14678222902033594
300,20.0,2,sqrt,0.7839126528919909,0.1258741258741259,0.5122897800776197,0.20209237050267925,0.7057798449155568,0.14180497566456846
300,12.0,2,sqrt,0.6459816184092323,0.09116541353383459,0.6274256144890039,0.15919908091252258,0.6762535753229383,0.10902213361024157
