dataset,accuracy,precision,recall,f1,roc_auc,average_precision,C
C=0.01,0.9457535761177528,0.125,0.00258732212160414,0.005069708491761723,0.7241633749046376,0.12288779847632968,0.01
C=0.1,0.9434731532029577,0.18309859154929578,0.016817593790426907,0.030805687203791468,0.735886788696549,0.13330826283449454,0.1
C=1,0.9425748047819777,0.19148936170212766,0.02328589909443726,0.04152249134948097,0.7373718828841029,0.13399323613968556,1.0
C=10,0.9423674936079055,0.18556701030927836,0.02328589909443726,0.041379310344827586,0.7382689836591474,0.13482245556115688,10.0
C=100,0.9420219749844516,0.17647058823529413,0.02328589909443726,0.04114285714285714,0.7386185120272324,0.13461601508737203,100.0
