learning_rate,max_iter,max_leaf_nodes,l2_regularization,accuracy,precision,recall,f1,roc_auc,average_precision
0.05,300,31,5.0,0.8492847764494507,0.16380133715377268,0.44372574385511,0.23927450296477154,0.75341226951291,0.1713865107945247
0.1,200,31,1.0,0.8370534171791859,0.1597252039501932,0.48124191461837,0.23984526112185686,0.7533204250552058,0.1709515811104484
0.05,300,31,1.0,0.8520489254370811,0.16503428011753182,0.4359637774902975,0.2394316163410302,0.7494146037315388,0.16762379666077354
0.05,200,15,1.0,0.837606246976712,0.1558271497162811,0.46183699870633893,0.23302872062663185,0.7493724827771573,0.16293928755522707
