dataset,accuracy,precision,recall,f1,roc_auc,average_precision
validation_baseline,0.9425748047819777,0.19148936170212766,0.02328589909443726,0.04152249134948097,0.7373718828841029,0.13399323613968556
validation_final,0.9425748047819777,0.19148936170212766,0.02328589909443726,0.04152249134948097,0.7373718828841029,0.13399323613968556
test_final,0.875138197899392,0.11917562724014337,0.13897596656217345,0.12831644958996624,0.6622143204790837,0.11550354340931686
