threshold,precision,recall,f1
0.05,0.09884464984002844,1.0,0.1799065042623057
0.055,0.09886925292465241,1.0,0.17994725516527255
0.06,0.0989009034644661,1.0,0.17999967631779118
0.065,0.09893414473567146,0.9998201762272972,0.1800518134715026
0.07,0.098986985703858,0.9998201762272972,0.18013931637777417
0.075,0.09901325163864348,0.9996403524545945,0.18017988817761932
0.08,0.09906072326091218,0.9994605286818917,0.1802555620419018
0.08499999999999999,0.0991135605614711,0.999280704909189,0.1803401051470111
0.09,0.09912193032552827,0.9987412335910807,0.18034516909389053
0.095,0.09918728230776101,0.998561409818378,0.18045039482663375
0.09999999999999999,0.09922231161169215,0.9980219385002698,0.18049954468583324
0.105,0.09928595715742945,0.9976622909548643,0.18059895833333334
0.10999999999999999,0.09934249422219037,0.997122819636756,0.18068363257193132
0.11499999999999999,0.09944572996825055,0.9969429958640532,0.18085141086282824
0.12,0.09951499910185019,0.9962237007732422,0.18095409188156325
0.12499999999999999,0.09959872600003598,0.9953245819097285,0.18107763274119149
0.13,0.099725938480401,0.9946052868189175,0.1812759123609131
0.135,0.09982284247442062,0.9929868728645928,0.1814090244583518
0.13999999999999999,0.0999710071394919,0.992087754001079,0.18163859943700925
0.145,0.10019085703898936,0.9911886351375652,0.18198626518753303
0.14999999999999997,0.10043038990407412,0.9902895162740515,0.182366089908105
0.15499999999999997,0.1007451073723523,0.9895702211832405,0.18287252425893924
0.15999999999999998,0.10098241224519833,0.9870526883654019,0.1832201211676152
0.16499999999999998,0.1012632474522352,0.9845351555475634,0.18363855906621052
0.16999999999999998,0.10152822190823232,0.9820176227297248,0.18403005947867698
0.175,0.10194846478925913,0.9803992087754001,0.18469147512661122
0.18,0.10229346578615642,0.9777018521848588,0.18520915656083936
0.185,0.10269328383650896,0.9750044955943176,0.18581538408814408
0.19,0.1031108737530756,0.9721273152310735,0.18644593895499223
0.195,0.10344761355997312,0.9685308397770185,0.18692951098462499
0.19999999999999996,0.10394736842105264,0.96601330695918,0.18769762932164008
0.20499999999999996,0.10446451210235806,0.963136126595936,0.18848536036036037
0.20999999999999996,0.10507980869530989,0.9600791224599892,0.18942700017739933
0.21499999999999997,0.10568863464823422,0.9568422945513397,0.19035183429624197
0.21999999999999997,0.10618546365914787,0.9523467002337709,0.19106717656396566
0.22499999999999998,0.10679513389875109,0.9487502247797159,0.19198020522523834
0.22999999999999998,0.10738694495600573,0.9437151591440388,0.19283129099226543
0.235,0.10816411106506424,0.9386800935083618,0.19397632894223443
0.24,0.10889863404603538,0.9332853803272793,0.19503945885005636
0.245,0.10965741350381242,0.928430138464305,0.1961477091406428
0.24999999999999994,0.11064287250053752,0.9253731343283582,0.19765320427877323
0.25499999999999995,0.11160353673179783,0.9192591260564646,0.19904216797103141
0.25999999999999995,0.11263199929008785,0.9129652940118683,0.2005253075814128
0.26499999999999996,0.11400820300175779,0.9097284661032189,0.20262341043356363
0.26999999999999996,0.11529994496422674,0.9041539291494336,0.20451910756777644
0.27499999999999997,0.11635447526184423,0.8969609782413235,0.2059880239520958
0.27999999999999997,0.11772383189767685,0.8921057363783492,0.20799966458429417
0.285,0.11919874502232412,0.8881496133788886,0.2101881011149885
0.29,0.12085942295887048,0.8850926092429419,0.21267769952037333
0.295,0.12203228869895537,0.8780794821075346,0.2142841470104224
0.3,0.12304131054131054,0.8698075885632081,0.2155862099703608
0.30499999999999994,0.12422649716490174,0.8627944614278008,0.217182690566721
0.30999999999999994,0.12565306876352314,0.8563208056105017,0.2191490830437884
0.31499999999999995,0.1270592029238666,0.8502067973386082,0.22107921069858785
0.31999999999999995,0.12837079420702494,0.8431936702032009,0.22281885573084964
0.32499999999999996,0.12958776410170533,0.8349217766588743,0.2243537086252718
0.32999999999999996,0.13122171945701358,0.8291674159323863,0.2265847665847666
0.33499999999999996,0.13230170711880154,0.8194569322064377,0.22782152230971128
0.33999999999999997,0.13398276729932193,0.8137025714799496,0.23008084608735446
0.3449999999999999,0.1352518420099046,0.8054306779356231,0.23161051787884274
0.3499999999999999,0.1371176615688209,0.799676317209135,0.23409575448108863
0.3549999999999999,0.13841896736054335,0.7915842474375112,0.23563418355057142
0.35999999999999993,0.14013801957952174,0.7851105916202122,0.23782547118422487
0.36499999999999994,0.14166884988210637,0.7779176407121021,0.23968750865722913
0.36999999999999994,0.1428666956434518,0.7683869807588564,0.24093600225542713
0.37499999999999994,0.14454458555236924,0.761373853623449,0.24296330301552233
0.37999999999999995,0.1464401576725852,0.7549001978061499,0.2452962486852869
0.38499999999999995,0.14809143996581683,0.7478870706707427,0.24722841432605142
0.38999999999999996,0.14960171680064016,0.7396151771264161,0.2488654928299147
0.39499999999999996,0.15072668475634687,0.7291853983096566,0.2498151798915722
0.3999999999999999,0.1527297595076175,0.7228915662650602,0.252179913430776
0.4049999999999999,0.15437546164910781,0.7140802014026254,0.2538677918424754
0.4099999999999999,0.15606476508732148,0.7054486603128933,0.2555866831715421
0.4149999999999999,0.1568747200846871,0.6928609962237008,0.25582630635415976
0.41999999999999993,0.15823443681032687,0.6833303362704549,0.2569651068433865
0.42499999999999993,0.15976457542542755,0.6736198525445064,0.25827357970215115
0.42999999999999994,0.16167481662591687,0.6658874303182881,0.2601791673985596
0.43499999999999994,0.16335570469798658,0.656536594137745,0.2616172835082942
0.43999999999999995,0.16545146054019352,0.6488041719115267,0.26366559485530544
0.44499999999999995,0.16714426645370414,0.6398129832763891,0.2650476758045292
0.4499999999999999,0.16869791415771473,0.6297428520050351,0.2661094224924012
0.4549999999999999,0.17016340030606703,0.6198525445063837,0.2670230072042761
0.4599999999999999,0.17160749457098126,0.6110411796439489,0.267959940067818
0.4649999999999999,0.1733070825345837,0.6015105196907031,0.2690853511382833
0.4699999999999999,0.17519140791152701,0.5925193310555655,0.2704255406459026
0.4749999999999999,0.17691595402799717,0.5840676137385362,0.27157190635451506
0.4799999999999999,0.17846533266072528,0.5725588922855601,0.2721134945731134
0.48499999999999993,0.17990117214433463,0.5630282323323144,0.27267581101676464
0.48999999999999994,0.18175384796839064,0.5542168674698795,0.27373656630251353
0.49499999999999994,0.18415313787254664,0.546664269016364,0.2754995695319226
0.49999999999999994,0.18622241670313183,0.5356950188814962,0.2763707208460896
0.5049999999999999,0.1885129920246977,0.5270634777917641,0.2777014543559619
0.5099999999999999,0.1911491507430998,0.5180722891566265,0.2792613774051277
0.5149999999999999,0.19399317406143346,0.5110591620212193,0.28123299193508483
0.5199999999999999,0.19697932105300303,0.5018881496133789,0.28291941206284843
0.5249999999999999,0.19963570127504554,0.49271713720553856,0.28414393860831694
0.5299999999999999,0.20251733494121194,0.48318647725229275,0.28541080248552764
0.5349999999999999,0.2051022000312061,0.4727566984355332,0.28608738233853853
0.5399999999999999,0.2087734860091928,0.46556374752742313,0.28827524774523994
0.5449999999999999,0.21064449064449065,0.45549361625606904,0.2880700557261458
0.5499999999999999,0.21407649896623018,0.44686207516633697,0.2894752169608014
0.5549999999999999,0.21731385821161384,0.43877000539471317,0.29066650783250936
0.5599999999999999,0.21997425050579364,0.4301384643049811,0.29108609674475205
0.565,0.2239961759082218,0.4213270994425463,0.2924911054241308
0.57,0.22651222651222652,0.411436791943895,0.29217213638104966
0.575,0.22987092808850645,0.40352454594497394,0.2928930366116296
0.58,0.23213907144371423,0.3938140622190254,0.2920973657885962
0.585,0.23538478476274358,0.38446322603848226,0.29199672220704725
0.59,0.23966186885994975,0.37727027513037226,0.29311910583304224
0.595,0.24377519563670855,0.3697176766768567,0.29381922115041087
0.6,0.2483974358974359,0.36234490199604386,0.2947414612740437
0.605,0.2526504023502363,0.35569142240604207,0.29544436146377895
0.61,0.25867381111855325,0.34723970508901275,0.2964839551665899
0.615,0.26197104677060135,0.338428340226578,0.2953315025500196
0.62,0.2663768115942029,0.3305160942276569,0.29500040125190596
0.625,0.2711454077772734,0.3222442006833303,0.2944946589975349
0.63,0.2772324255858138,0.31487142600251755,0.2948556032668182
0.635,0.2829405907733156,0.306599532458191,0.29429533097436783
0.6399999999999999,0.2860851505711319,0.2972486962776479,0.2915601023017903
0.6449999999999999,0.29239446870451236,0.2889768027333213,0.2906755901239034
0.6499999999999999,0.29783980118524184,0.28016543787088655,0.2887323943661972
0.6549999999999999,0.30287884846061575,0.2724330156446682,0.286850326611758
0.6599999999999999,0.31033040568799664,0.2668584786908829,0.28695736246736925
0.6649999999999999,0.31360174102285093,0.25912605646466463,0.2837731390311146
0.6699999999999999,0.31889674036927285,0.25157345801114905,0.2812625653397668
0.6749999999999999,0.32604562737642584,0.2467182161481748,0.28088852492578564
0.6799999999999999,0.3313462493790363,0.23988491278547025,0.2782935224783561
0.6849999999999999,0.336768874001546,0.23502967092249596,0.27684812539716164
0.69,0.3425950903695711,0.22837619133249415,0.27406128614587827
0.695,0.3458961474036851,0.22280165437870886,0.27102701520288747
0.7,0.3499132446500868,0.21758676497032908,0.26832243042465903
0.705,0.35221822541966424,0.21129293292573278,0.2641339777453074
0.71,0.3560111835973905,0.20607804351735298,0.2610478359908884
0.715,0.36036036036036034,0.20140262542708146,0.25839197139231745
0.72,0.36466666666666664,0.19672720733680993,0.25557761943698165
0.725,0.3701754385964912,0.18971408020140262,0.2508619664724765
0.73,0.3744041070773744,0.18360007192950908,0.24638030888030887
0.735,0.3807145601229351,0.17820535874842655,0.24277315041646252
0.74,0.3868642370845014,0.17370976443085775,0.23976172747580043
0.7449999999999999,0.3896595208070618,0.16669663729545045,0.23350125944584382
0.7499999999999999,0.39323374340949035,0.16094227656896243,0.2284037259155289
0.7549999999999999,0.39703840814437763,0.1542887969789606,0.2222222222222222
0.7599999999999999,0.4000977039570103,0.1472756698435533,0.21529968454258674
0.7649999999999999,0.40030911901081917,0.13972307139003776,0.2071447613969608
0.7699999999999999,0.4034613304488913,0.13414853443625246,0.20134952766531714
0.7749999999999999,0.4098173515981735,0.12911346880057545,0.1963626418706413
0.7799999999999999,0.4156156156156156,0.12443805071030391,0.19153058400221423
0.7849999999999999,0.42378241619228335,0.12048192771084337,0.18762251470176422
0.7899999999999999,0.42639257294429705,0.11562668584786909,0.18192106379968878
0.7949999999999999,0.4288717589348283,0.1100521488940838,0.17515741270749857
0.7999999999999999,0.43080357142857145,0.104117964394893,0.16770456191165822
0.8049999999999999,0.43902439024390244,0.10034166516813522,0.16334894613583137
0.8099999999999999,0.43902439024390244,0.09386800935083618,0.15466666666666667
0.815,0.45496750232126276,0.08811364862434815,0.1476348297680024
0.82,0.47058823529411764,0.07912245998921057,0.1354679802955665
0.825,0.4919852034525277,0.07174968530839777,0.12523540489642185
0.83,0.516320474777448,0.06257867290055745,0.11162790697674418
0.835,0.5343915343915344,0.05448660312893364,0.09889033942558746
0.84,0.5550935550935551,0.0480129473116346,0.08838133068520357
0.845,0.5653206650831354,0.04279805790325481,0.07957204948177866
0.8499999999999999,0.5650969529085873,0.036684049631361265,0.06889564336372847
0.8549999999999999,0.5724381625441696,0.02913145117784571,0.055441478439425054
0.8599999999999999,0.5242718446601942,0.019420967451897142,0.03745448239986128
0.8649999999999999,0.5116279069767442,0.011868368998381586,0.023198594024604568
0.8699999999999999,0.527027027027027,0.007013127135407301,0.013842058562555456
0.8749999999999999,0.5813953488372093,0.004495594317568782,0.008922198429693077
0.8799999999999999,0.631578947368421,0.002157885272433016,0.004301075268817204
0.8849999999999999,0.5555555555555556,0.0008991188635137566,0.0017953321364452424
0.8899999999999999,0.3333333333333333,0.0003596475454055026,0.0007185198491108317
0.8949999999999999,0.0,0.0,0.0
0.8999999999999999,0.0,0.0,0.0
0.9049999999999999,0.0,0.0,0.0
0.9099999999999999,0.0,0.0,0.0
0.9149999999999999,0.0,0.0,0.0
0.9199999999999999,0.0,0.0,0.0
0.9249999999999999,0.0,0.0,0.0
0.9299999999999999,0.0,0.0,0.0
0.9349999999999999,0.0,0.0,0.0
0.94,0.0,0.0,0.0
0.945,0.0,0.0,0.0
0.95,0.0,0.0,0.0
